OSM_tag;OSM_full_description;OSM_path;FS_manual_path;FS_tag
visa;An office of an organisation or business which offers visa assistance.;office > visa;business professional services > legal service;legal service
nature reserve;A protected area of importance for wildlife, flora, fauna or features of geological or other special interest.;leisure > nature reserve;landmarks outdoors > nature preserve;nature preserve
turning point;A place to turn the driving direction for vessels, where the boats are longer than the river/canal is wide.;waterway > features waterways > turning point;landmarks outdoors > canal;canal
helipad;A landing area or platform designed for helicopters;aeroway > helipad;travel transportation > transport hub > heliport;heliport
hospital;A building errected for a hospital. Use amenity=hospital for the hospital grounds.;building > civicamenity > hospital;health medicine > hospital > hospital unit;hospital unit
bridge;The outline of a bridge, grouping together all features for that bridge.;man made > man made > bridge;landmarks outdoors > bridge;bridge
gondola;An aerialway where the cabins go around in a circle.;aerialway > gondola;sports recreation > snow sports > ski resort area;ski resort area
leather;"A leatherworker; a person who makes things from leather.";craft > leather;business professional services > leather supplier;leather supplier
coworking;"An office where people can go to work (typically requires a fee); not limited to a single employer.";office > coworking;business professional services > office > coworking space;coworking space
primary;The next most important roads in a country's system. (Often link larger towns.);highway > roads > primary;travel transportation > road;road
